company_name,api_path,web_path,price,price_currency_code,price_usd,payment_type,acquisition_type,acquisition_status,disposition_of_acquired,announced_on,announced_on_trust_code,completed_on,completed_on_trust_code,created_at,updated_at
mailchimp,**acquisitions/867c69ad0bb08de2bfd9b1c27f62dd62,**acquisition/867c69ad0bb08de2bfd9b1c27f62dd62,**,**USD,**,**cash,**,**,**,**2011-08-31,**7,**,**,**1354983614,**1397995087
airbnb,**acquisitions/ed45e03703ad5fa05469cb91c981c9ea**acquisitions/19e1c82599fec6e6c3bfae33bffa66fe**acquisitions/c312dc831914b5962b5831bde47c539e**acquisitions/edace27c5ce75abbb0012cca27b777ca**acquisitions/a110d34cb7bcb21a52cee70828dc79d6**acquisitions/ef8d91a8ab56ef691376de1a60d2e30c**acquisitions/9b5b7914879c6e0958f32cbfc8c138f8**acquisitions/67711f1e8ecb6015c1e9932af97162e5**acquisitions/96e2b9e4e2afe86616c7313a2119f073,**acquisition/ed45e03703ad5fa05469cb91c981c9ea**acquisition/19e1c82599fec6e6c3bfae33bffa66fe**acquisition/c312dc831914b5962b5831bde47c539e**acquisition/edace27c5ce75abbb0012cca27b777ca**acquisition/a110d34cb7bcb21a52cee70828dc79d6**acquisition/ef8d91a8ab56ef691376de1a60d2e30c**acquisition/9b5b7914879c6e0958f32cbfc8c138f8**acquisition/67711f1e8ecb6015c1e9932af97162e5**acquisition/96e2b9e4e2afe86616c7313a2119f073,**************575000****,**USD**USD**USD**USD**USD**USD**USD**USD**USD,******************,********cash**********,**Acquisition**************Acquisition**Acqui-hire,**Complete**************Complete**Pending,"******************Separate Entity",**2015-09-29**2011-06-01**2012-03-20**2012-07-24**2012-12-01**2012-07-01**2012-10-03**2014-12-02**2015-09-11,**7**7**7**7**6**6**7**7**7,******************,******************,**1443600081**1306927580**1332297650**1343183331**1356048404**1357944467**1360186308**1417583712**1441996343,**1444022427**1397994913**1397994802**1437458519**1397995099**1397995122**1397995148**1417583753**1442026375
hootsuite,**acquisitions/e555231d578e526be366bbe994144c70**acquisitions/809dcb4cada744c7003d2f1d0134313f**acquisitions/b46484ed798779b2d45e25fe03089f36**acquisitions/69451b8c4e52b2110f826ef7cd7886f5**acquisitions/88110712927764ec4d8bc0e390b944f3**acquisitions/ba6bc1068e42e4a84d882c7251337bd5**acquisitions/cdf92e1413f2982f3b87d742e749b79c**acquisitions/4601c3b9cecedbf12095754e35669976**acquisitions/1004e787b56eb0503673eecff15941b8,**acquisition/e555231d578e526be366bbe994144c70**acquisition/809dcb4cada744c7003d2f1d0134313f**acquisition/b46484ed798779b2d45e25fe03089f36**acquisition/69451b8c4e52b2110f826ef7cd7886f5**acquisition/88110712927764ec4d8bc0e390b944f3**acquisition/ba6bc1068e42e4a84d882c7251337bd5**acquisition/cdf92e1413f2982f3b87d742e749b79c**acquisition/4601c3b9cecedbf12095754e35669976**acquisition/1004e787b56eb0503673eecff15941b8,******************,**USD**USD**USD**USD**USD**USD**USD**USD**USD,******************,******cash_and_stock********cash_and_stock****,****Acquisition************Acquisition**Acquisition,****Complete************Pending**Pending,"****************Separate Entity**Separate Entity",**2014-01-22**2012-09-05**2011-09-27**2011-09-16**2011-04-06**2010-03-12**2011-10-10**2014-09-04**2014-09-25,**7**7**7**7**7**7**7**7**7,******************,******************,**1390410752**1346929024**1317151848**1317152301**1317152301**1317152773**1319134286**1409836067**1411650813,**1397994909**1438261924**1397995079**1397995080**1397995080**1397995080**1397995106**1409836094**1411650864
indeed,**acquisitions/366398083a874abd3973bf4523f27d8d,**acquisition/366398083a874abd3973bf4523f27d8d,**,**USD,**,**cash,**Acquisition,**Complete,**,**2014-06-24,**7,**2014-07-03,**7,**1425718398,**1426492059
eventbrite,**acquisitions/f724c0124c92843ff7a0c97605530715**acquisitions/13949fde0b585784ef6bcdd15b774e77**acquisitions/4be3fa94b1b1ad1ddac6619c701eb563,**acquisition/f724c0124c92843ff7a0c97605530715**acquisition/13949fde0b585784ef6bcdd15b774e77**acquisition/4be3fa94b1b1ad1ddac6619c701eb563,******,**USD**USD**USD,******,******,**Acqui-hire****,******,"**Separate Entity****",**2015-10-14**2013-09-03**2013-09-03,**7**7**7,******,******,**1444978113**1378222289**1378222324,**1444978182**1397994995**1397994995
500px,**acquisitions/c2a99d4c08d8ee36181f5d1dc2dee556**acquisitions/f2a601a918425b886da9f23f6138c36f**acquisitions/43ea84a8b55da97a554714be45ce67ac,**acquisition/c2a99d4c08d8ee36181f5d1dc2dee556**acquisition/f2a601a918425b886da9f23f6138c36f**acquisition/43ea84a8b55da97a554714be45ce67ac,**2000000****,**USD**USD**USD,******,**cash_and_stock****,******,******,******,**2012-07-09**2014-03-11**2012-11-21,**7**7**7,******,******,**1341891847**1394596189**1353492743,**1397994917**1397995037**1397995066
moz,**acquisitions/7b602f2d5f911d9cf146d2a8d29436f9**acquisitions/b73440652990c3b35465e0ce69398772**acquisitions/da5975c4de223f4191f2b45717cba019**acquisitions/c531341859f3fae51906b20a691bb07d,**acquisition/7b602f2d5f911d9cf146d2a8d29436f9**acquisition/b73440652990c3b35465e0ce69398772**acquisition/da5975c4de223f4191f2b45717cba019**acquisition/c531341859f3fae51906b20a691bb07d,******3000000**,**USD**USD**USD**USD,******3000000**,********,**Acquisition******,********,********,**2015-08-27**2012-08-15**2012-12-04**2013-01-23,**7**7**7**7,********,********,**1453907962**1345087536**1354684834**1359006326,**1453907987**1397994959**1440013279**1397995132
issuu,**acquisitions/427f358e30b4fc118cf7eb951f3c8ebb**acquisitions/7805d4510626c9abca1e5a6465a1c61d,**acquisition/427f358e30b4fc118cf7eb951f3c8ebb**acquisition/7805d4510626c9abca1e5a6465a1c61d,****,**USD**USD,****,****,****,****,****,**2012-01-01**2013-03-01,**4**6,****,****,**1385505011**1385505954,**1397994803**1397994803
uber,**acquisitions/adc60bea050d851e9ac0ccdcf7abce46,**acquisition/adc60bea050d851e9ac0ccdcf7abce46,**,**USD,**,**,**Acqui-hire,**Pending,"**Separate Entity",**2015-03-03,**7,**,**,**1425444283,**1425537540
hubspot,**acquisitions/33790f2c91c489f242eca0c8d9c92899**acquisitions/1b328012f0fa648344bd090c6726d71c**acquisitions/0d3c535d58d5862a90ee9ad571d37b92**acquisitions/329fff7e28e803ecf6346af5fdb7832b**acquisitions/6e9647d26847d446f09bb6a18fc9645e,**acquisition/33790f2c91c489f242eca0c8d9c92899**acquisition/1b328012f0fa648344bd090c6726d71c**acquisition/0d3c535d58d5862a90ee9ad571d37b92**acquisition/329fff7e28e803ecf6346af5fdb7832b**acquisition/6e9647d26847d446f09bb6a18fc9645e,**********,**USD**USD**USD**USD**USD,**********,**********,**********Acqui-hire,**********Pending,"**********Separate Entity",**2011-06-16**2011-08-18**2013-03-29**2013-03-29**2015-03-24,**7**7**7**7**7,**********,**********,**1308273958**1313718535**1364786080**1364786151**1427263958,**1397994935**1397995032**1397995205**1397995205**1427264103
