company_name,api_path,web_path,funding_type,series,series_qualifier,announced_on,announced_on_trust_code,closed_on,closed_on_trust_code,money_raised,money_raised_currency_code,money_raised_usd,target_money_raised,target_money_raised_currency_code,target_money_raised_usd,created_at,updated_at
airbnb,**funding-rounds/47de508203de515a569130787dc50dbe**funding-rounds/fb9e4d00991e5bb84d0e2406239b50f9**funding-rounds/d2e9a4b63710e2eaa5c10ec849bde45f**funding-rounds/0ddb5b940c366a61319400490c89804a**funding-rounds/ba7b61b633ca1b0d7d912fed65efc5ec**funding-rounds/e5e53009a100e5790c074f44416c959a**funding-rounds/48ab76afc274d36dddf8a1e26fca313e**funding-rounds/8ab0470b7e24485f60b57ad0378ba13a,**funding-round/47de508203de515a569130787dc50dbe**funding-round/fb9e4d00991e5bb84d0e2406239b50f9**funding-round/d2e9a4b63710e2eaa5c10ec849bde45f**funding-round/0ddb5b940c366a61319400490c89804a**funding-round/ba7b61b633ca1b0d7d912fed65efc5ec**funding-round/e5e53009a100e5790c074f44416c959a**funding-round/48ab76afc274d36dddf8a1e26fca313e**funding-round/8ab0470b7e24485f60b57ad0378ba13a,**private_equity**venture**venture**seed**seed**venture**venture**private_equity,****C**B******a**D**,****************,**2015-11-20**2013-10-28**2011-07-25**2009-01-01**2009-04-01**2010-11-10**2014-04-16**2015-06-28,**7**7**7**7**7**7**7**7,****************2015-12-07,****************7,**100000000**200000000**112000000**20000**600000**7200000**475000000**1500000000,**USD**USD**USD**USD**USD**USD**USD**USD,**100000000**200000000**112000000**20000**600000**7200000**475000000**1500000000,****************,****USD**USD********USD**,****************,**1448075673**1382962802**1306804958**1236161183**1269911976**1289442056**1398152036**1435555250,**1448369200**1427367111**1439245592**1398010189**1398010151**1438648832**1439245680**1449543748
hootsuite,**funding-rounds/67c200fba2b57e339ef0304c54e3f3cd**funding-rounds/6dee1840fc08d6fb710cc7818974a521**funding-rounds/e0ea400582870f1f882a4909f831eac7**funding-rounds/965547bffe2e59bb8e61cf89d65187c4**funding-rounds/66b3f1e664c42fbab4d55b0b04fda29d,**funding-round/67c200fba2b57e339ef0304c54e3f3cd**funding-round/6dee1840fc08d6fb710cc7818974a521**funding-round/e0ea400582870f1f882a4909f831eac7**funding-round/965547bffe2e59bb8e61cf89d65187c4**funding-round/66b3f1e664c42fbab4d55b0b04fda29d,**venture**venture**debt_financing**venture**venture,**a**B******D,**********,**2009-12-01**2013-08-01**2011-09-15**2012-03-29**2014-09-25,**7**7**7**7**7,**********,**********,**1900000**165000000**3000000**20000000**60000000,**USD**USD**USD**USD**USD,**1900000**165000000**3000000**20000000**60000000,**********,****USD******USD,**********,**1263052895**1375396247**1316140533**1333424766**1411650525,**1413952369**1428972278**1398010117**1426712413**1453528793
behance,**funding-rounds/843a68ced976c0a07fb6dfa0340d52b4,**funding-round/843a68ced976c0a07fb6dfa0340d52b4,**venture,**a,**,**2012-05-14,**7,**,**,**6500000,**USD,**6500000,**,**,**,**1337046324,**1398009927
indeed,**funding-rounds/5021de1b05b7bf35764d5a97b3d5ccb6,**funding-round/5021de1b05b7bf35764d5a97b3d5ccb6,**venture,**a,**,**2005-08-01,**7,**,**,**5000000,**USD,**5000000,**,**,**,**1185265866,**1398009846
eventbrite,**funding-rounds/bd16da8beb34baa229c3a74c5f69c101**funding-rounds/f6db5ac3e4593278aa9e400aa5b84c0b**funding-rounds/c84a5189d772cd344cfad892127f4c17**funding-rounds/f387f52adb5b0283b5318c62e4229013**funding-rounds/97d0360a3c0fac8668abfa15d4111d49**funding-rounds/0c2cd93429982bc6ce65e91d3848efa8**funding-rounds/1941fcb252f092506b04bf9251741aab**funding-rounds/16cfffda89bd8b70698bbc4b8938f274**funding-rounds/9432d25ef26876ca585e93a2379e79e1**funding-rounds/f9606d4c3b8b234b42b25a50732b1a20,**funding-round/bd16da8beb34baa229c3a74c5f69c101**funding-round/f6db5ac3e4593278aa9e400aa5b84c0b**funding-round/c84a5189d772cd344cfad892127f4c17**funding-round/f387f52adb5b0283b5318c62e4229013**funding-round/97d0360a3c0fac8668abfa15d4111d49**funding-round/0c2cd93429982bc6ce65e91d3848efa8**funding-round/1941fcb252f092506b04bf9251741aab**funding-round/16cfffda89bd8b70698bbc4b8938f274**funding-round/9432d25ef26876ca585e93a2379e79e1**funding-round/f9606d4c3b8b234b42b25a50732b1a20,**seed**venture**venture**venture**venture**secondary_market**venture**private_equity**venture**angel,****c**a**a**e****d****F**,********************,**2006-11-01**2009-11-04**2008-06-02**2008-12-01**2011-05-18**2012-01-01**2010-10-06**2014-03-13**2013-01-01**2010-01-01,**7**7**7**7**7**4**7**7**4**4,******************2013-01-01**,******************4**,**250000**6500000**1300000**1500000**50000000****20000000**60000000**60000000**25000,**USD**USD**USD**USD**USD**USD**USD**USD**USD**USD,**250000**6500000**1300000**1500000**50000000****20000000**60000000**60000000**25000,********************,******************USD**USD,********************,**1184652745**1257374813**1212435120**1242160755**1305942125**1386356867**1286366753**1394712915**1404234195**1423231445,**1398009830**1398009956**1398009957**1398009940**1398009964**1404252262**1398010193**1426712706**1404234270**1423231445
500px,**funding-rounds/f0a92515863eb2ddad4504a9867b5b59**funding-rounds/79c5fa844058b277cfa4d14231e71c9e**funding-rounds/dc3ecf929da7967aef6d2502f76edbd1**funding-rounds/9bfb5c28edeb300e49a54d61805afe08**funding-rounds/8d77dbdb6825f2f026713e49bc855b34**funding-rounds/344b1e2b60ff76f4548c69ea7c04901f**funding-rounds/36b2c6975d20b602b5d9ea9724e383ea,**funding-round/f0a92515863eb2ddad4504a9867b5b59**funding-round/79c5fa844058b277cfa4d14231e71c9e**funding-round/dc3ecf929da7967aef6d2502f76edbd1**funding-round/9bfb5c28edeb300e49a54d61805afe08**funding-round/8d77dbdb6825f2f026713e49bc855b34**funding-round/344b1e2b60ff76f4548c69ea7c04901f**funding-round/36b2c6975d20b602b5d9ea9724e383ea,**venture**venture**venture**venture**venture**venture**venture,**A**A**A**A**A**a**B,**************,**2013-01-30**2012-10-01**2012-05-30**2011-12-28**2011-06-03**2013-08-07**2015-07-21,**7**7**7**7**7**7**7,**************,**************,**********525000**8800000**13000000,**USD**USD**USD**USD**USD**USD**USD,**********525000**8800000**13000000,**************,**USD**USD**USD**USD**USD****USD,**************,**1447681198**1447681088**1447680194**1447679879**1307328565**1375896209**1437480890,**1447681226**1447681121**1447680241**1447680052**1447679394**1402705748**1447681419
moz,**funding-rounds/05e5f54c1fd7a4ecd2b019a9d0608ed2**funding-rounds/f57e94c6471357ad8acaef6dda017879**funding-rounds/0b5b860f29de42b4d1625b05b173aeef,**funding-round/05e5f54c1fd7a4ecd2b019a9d0608ed2**funding-round/f57e94c6471357ad8acaef6dda017879**funding-round/0b5b860f29de42b4d1625b05b173aeef,**venture**venture**venture,**C**B**A,******,**2016-01-26**2012-05-01**2007-09-01,**7**7**7,******,******,**10000000**18000000**1100000,**USD**USD**USD,**10000000**18000000**1100000,****18750000**,**USD**USD**USD,****18750000**,**1453873373**1335929572**1190375954,**1453906363**1453908551**1453906606
issuu,**funding-rounds/211db4ac080cf71fa4e9f4657a4901b4**funding-rounds/4d98869a892d10cd0c00b047ea837986,**funding-round/211db4ac080cf71fa4e9f4657a4901b4**funding-round/4d98869a892d10cd0c00b047ea837986,**venture**venture,**A**B,****,**2007-02-01**2014-07-14,**7**7,****,****,**10250000**10000000,**USD**USD,**10250000**10000000,****,**USD**USD,****,**1225221819**1405340509,**1406225673**1429204031
9gag,**funding-rounds/631f0687e4a9bea17ef24d98659f8b1a**funding-rounds/49d4956450de140435f3fc4a97386a8d,**funding-round/631f0687e4a9bea17ef24d98659f8b1a**funding-round/49d4956450de140435f3fc4a97386a8d,**seed**seed,****,****,**2012-07-30**2011-05-17,**7**7,****,****,**2800000**,**USD**USD,**2800000**,****,****USD,****,**1343706384**1402985380,**1443501507**1402985396
quora,**funding-rounds/514a68725f47425a3c1cdd607e679b0a**funding-rounds/97ce012339dacd68a2a2bc1cd478b4c6**funding-rounds/216c9b58a5b235c87fbf0afb34cb2aa1,**funding-round/514a68725f47425a3c1cdd607e679b0a**funding-round/97ce012339dacd68a2a2bc1cd478b4c6**funding-round/216c9b58a5b235c87fbf0afb34cb2aa1,**venture**venture**venture,**b**C**a,******,**2012-05-14**2014-04-09**2010-03-28,**7**7**7,******,******,**50000000**80000000**11000000,**USD**USD**USD,**50000000**80000000**11000000,******,****USD**,******,**1337046851**1397049215**1269893278,**1425452801**1440424490**1422700035
prezi,**funding-rounds/b6a56a6bb11df46e93d183e11d187406**funding-rounds/727b47ffbbdf3bd19ae8b64253d28d68**funding-rounds/5012b8aa561b60ef69d6760debc6e1b4**funding-rounds/7046b3282dc8b7773fc29e72f8fb2984,**funding-round/b6a56a6bb11df46e93d183e11d187406**funding-round/727b47ffbbdf3bd19ae8b64253d28d68**funding-round/5012b8aa561b60ef69d6760debc6e1b4**funding-round/7046b3282dc8b7773fc29e72f8fb2984,**seed**venture**venture**private_equity,****A**b**,********,**2008-01-01**2009-07-20**2011-12-14**2014-11-19,**7**7**7**7,********,********,**260000**1500000**14000000**57000000,**USD**USD**USD**USD,**260000**1500000**14000000**57000000,********,****USD****USD,********,**1248107436**1248107437**1323950745**1416400178,**1398009930**1451376015**1398010089**1432068266
uber,**funding-rounds/ae32184f285a5bde6950f399f05c4b97**funding-rounds/765b8958c4aa1d9805b4694324cd7706**funding-rounds/211176ddab64c19f775fe7e47ab9c1c2**funding-rounds/5b1dc73e0e42d1b0406db5374baf91f9**funding-rounds/7fb4f6a6b5c4566beba7c7f328296051**funding-rounds/42c8af05c0bf5f0a05351ca9580250e9**funding-rounds/7a617d3521e9a71816c8d5cbcd4c49b0**funding-rounds/1fa1e079dd45f9d615ce1469ed9090fb**funding-rounds/cf3cef91e48e774ac6ad7c5584bf2bf0**funding-rounds/2fd6f840728c42adee151fc1f1bf218e,**funding-round/ae32184f285a5bde6950f399f05c4b97**funding-round/765b8958c4aa1d9805b4694324cd7706**funding-round/211176ddab64c19f775fe7e47ab9c1c2**funding-round/5b1dc73e0e42d1b0406db5374baf91f9**funding-round/7fb4f6a6b5c4566beba7c7f328296051**funding-round/42c8af05c0bf5f0a05351ca9580250e9**funding-round/7a617d3521e9a71816c8d5cbcd4c49b0**funding-round/1fa1e079dd45f9d615ce1469ed9090fb**funding-round/cf3cef91e48e774ac6ad7c5584bf2bf0**funding-round/2fd6f840728c42adee151fc1f1bf218e,**private_equity**seed**angel**venture**venture**venture**venture**venture**debt_financing**venture,********B**A**C**D**E****E,********************,**2016-01-12**2009-08-01**2010-10-15**2011-12-07**2011-02-14**2013-08-23**2014-06-06**2014-12-04**2015-01-21**2015-02-18,**7**7**7**7**7**7**7**7**7**7,********************,********************,**2000000000**200000**1250000**37000000**11000000**258000000**1200000000**1200000000**1600000000**1000000000,**USD**USD**USD**USD**USD**USD**USD**USD**USD**USD,**2000000000**200000**1250000**37000000**11000000**258000000**1200000000**1200000000**1600000000**1000000000,**************1400000000******,**USD******USD**USD**USD**USD**USD**USD**USD,**************1400000000******,**1452657017**1287136400**1287136400**1323258638**1398202143**1377229728**1402085222**1417717255**1421897274**1424317929,**1452746593**1433443103**1451465195**1446066515**1426712682**1443993727**1438885884**1426712790**1421897367**1445578496
