permalink,api_path,web_path,name,also_known_as,short_description,description,primary_role,role_company,role_investor,role_group,role_school,founded_on,founded_on_trust_code,is_closed,closed_on,closed_on_trust_code,num_employees_min,num_employees_max,total_funding_usd,stock_exchange,stock_symbol,number_of_investments,homepage_url,created_at,updated_at
mailchimp,organizations/mailchimp,organization/mailchimp,MailChimp,,"MailChimp, an email marketing service,helps businesses with their marketing newsletters, automated messages, and targeted campaigns.","MailChimp is an email marketing service that helps businesses with their marketing emails and newsletters, automated messages, and targeted campaigns. It also manages their subscriber lists, tracks campaign performances, and offers plugins for other programs.


MailChimp helps businesses observe their subscribers’ activities, send automated emails to them based on their behavior and preferences, optimize and target the appropriate audience for each campaign using specific tools, and monitor sales and website activity with revenue reports. Companies can add content and collaborate on campaigns that fit their brand using MailChimp's Email Designer; edit campaigns, collaborate with their teams using MailChimp Editor; send one-to-one messages using Mandrill; collect signups from their tablet using Chimpadeedoo; and access all the services via mobiles using MailChimp Mobile.


Utilizing an open API, MailChimp encourages other systems and web applications to integrate with its email marketing engine. It offers integrations to systems such as PayPal, Google Analytics, Shopify, Magento, Salesforce, and more.


MailChimp was launched by Dan Kurzius and Ben Chesnut in 2001 and is operated from Georgia, United States.",company,1,,,,2001-01-01,4,,,0,,,0,,,0,http://www.mailchimp.com,1208329789,1454205560
airbnb,organizations/airbnb,organization/airbnb,Airbnb,,"Airbnb is an online community marketplace for people to list, discover, and book accommodation around the world.","Airbnb is a community marketplace for people to list, discover and book unique spaces around the world through mobile phones or the internet. Whether an apartment for a night, a castle for a week, or a villa for a month, Airbnb connects people to unique travel experiences at any price point, with [over 500,000 listings in 33,000 cities and 192 countries](https://www.airbnb.com/about/about-us).

With a growing community of users, Airbnb also provides an easy way for people to monetize their extra space and showcase it to an audience of millions. 

Founded in August 2008, Airbnb has acquired several of its competitors, including [Accoleo](/organization/accoleo), [CrashPadder](/organization/crashpadder), [NabeWise](/organization/nabewise), and [Localmind](/organization/localmind).

Airbnb was founded in August 2008 by [Brian Chesky](/person/brian-chesky) and [Joe Gebbia](/person/joe-gebbia), and is currently headquartered in [San Francisco, California](http://www.crunchbase.com/location/san-francisco/528f5e3c90d111115d1c2e4ff979d58e), USA.",company,1,1,,,2008-08-01,7,,,0,1001,5000,2394820000,,,1,http://airbnb.com,1217504495,1454270216
hootsuite,organizations/hootsuite,organization/hootsuite,Hootsuite,Array,"Hootsuite is the most widely used platform for managing social media, loved by over 10 million people around the globe.","Hootsuite is the most widely used platform for managing social media, loved by over 10 million people around the globe and trusted by 744 of the Fortune 1000. With Hootsuite, brands harness the power of social. Our platform brings together your social networks and integrates with hundreds of business applications. It’s the one place to build customer relationships, listen to the needs of the market and grow your revenue.",company,,,,,2008-11-28,7,,,0,501,1000,249900000,,,0,http://www.hootsuite.com,1239087657,1454228834
behance,organizations/behance,organization/behance,Behance,,"Behance is an online platform that enables creative professionals to showcase and discover creative work via online portfolios.","Behance is an online platform that enables creative professionals to showcase and discover creative work via online portfolios.


Behance's platform attracts millions of visitors who come to discover top talent along with powering creative networks for top schools and organizations, distributing work to other online galleries, and enabling portfolio display throughout the social web. And with Behance [ProSite](http://www.crunchbase.com/product/prosite), its members are able to create customizable personal portfolio sites that sync with their work on Behance for maximum efficiency and reach. The platform also serves as the backbone of [AdWeek](http://www.crunchbase.com/organization/adweek), [LinkedIn](http://www.crunchbase.com/organization/linkedin), and thousands of other portfolio sites and online galleries of creative talent.


Used by millions of individuals to display and find talent every month, Behance received over 50 million page views from over 9 million visitors per month by the winter of 2011.


Behance offers its services for various creative fields, including advertising, animation, architecture, art direction, automotive design, branding, calligraphy, cartooning, character design, cinematography, computer animation, copywriting, costume design, crafts, creative direction, culinary art, digital art, digital photography, directing, drawing, editorial design, engineering, entrepreneurship, exhibition design, fashion styling, film, fine arts, furniture design, game design, graffiti, and graphic design.


The platform also provides its services for the icon design, illustration, industrial design, information architecture, interaction design, interior design, jewelry design, journalism, landscape design, makeup arts, motion graphics, music, packaging, painting, pattern design, performing arts, photography, photojournalism, print design, product design, programming, retouching, sculpting, set design, sound design, storyboarding, street art, textile design, toy design, typography, user interface design, visual effects, web design, and web development creative fields.


Behance was founded in February 2006 by [Grigory Rudko](http://www.crunchbase.com/person/grigory-rudko), [Matias Corea](http://www.crunchbase.com/person/matias-corea), and [Scott Belsky](http://www.crunchbase.com/person/scott-belsky) in New York, United States.",company,1,,,,2006-02-01,7,,,0,,,6500000,,,0,http://www.behance.net,1188411002,1454048295
indeed,organizations/indeed,organization/indeed,Indeed,,"Indeed is an employment-related metasearch engine for job listings.","Indeed is the #1 job site worldwide, available in more than 50 countries and 28 languages, and covering 94% of global GDP. With more than 140 million monthly unique visitors, Indeed has double the traffic of the next leading job site. According to a recent study, Indeed is the #1 source of external hire for employers (SilkRoad, 2013). 

Since 2004, Indeed has given job seekers free access to millions of jobs from thousands of company websites and job boards. As the leading pay for performance recruitment advertising network, Indeed drives millions of targeted applicants to jobs in every field and is the most cost-effective source of candidates for thousands of companies.

Founded by Paul Forster and Rony Kahan, Indeed has over 800 employees with offices in Austin, Dublin, London, San Mateo, New York and Stamford.",company,1,,,,2004-11-01,7,,,0,,,5000000,,,0,http://www.indeed.com,1185289832,1453315289
eventbrite,organizations/eventbrite,organization/eventbrite,Eventbrite,,"Eventbrite is a global marketplace for live experiences that lets people to find and create events.","Eventbrite is the world’s largest self-service ticketing platform, hosting a vibrant collection of live experiences to fuel people’s passions and enrich their lives.

Eventbrite helps people find popular events; get event recommendations and information; register for and purchase tickets to events; store debit and credit cards for fast, efficient purchasing; view event details such as maps and directions; share events with friends; and get into events with mobile tickets.

Event organizers can plan, promote and sell tickets to events, and publish them across Facebook, Twitter and other social networks directly from the site's interface. Event organizers are able to look up and check in their event attendees off a guest list; validate ticket barcodes by using phone cameras; and view live sales and event attendance statistics. 

Eventbrite is available in English, German, Spanish, French, Italian, Dutch, Portuguese, and Swedish.
 
The company has made two acquisitions, Lanyrd and Eventioz and opened offices in Melbourne, Dublin and Nashville. In San Francisco alone, the company employs nearly 300 people and is continuing to hire both locally and internationally. Investors include Tiger Global, DAG Ventures, Sequoia Capital, T. Rowe Price, and Tenaya Capital.

Eventbrite was founded by Kevin Hartz, Renaud Visage, and Julia Hartz in 2006 and is based in San Francisco, California, USA.",company,1,,,,2006-01-01,4,,,0,,,199575000,,,0,http://www.eventbrite.com,1184644026,1453277097
500px,organizations/500px,organization/500px,500px,,"500px is a premier online community for discovering, sharing, buying and selling inspiring photography.","500px is the premier photo community for discovering, sharing, buying and selling the highest quality photography.  Every month, millions of people from around the world visit our website and apps to find the world’s most inspiring photography.

The company is headquartered in Toronto, Canada where it was founded in 2009 and has an office in San Francisco, United States.  500px has raised over $9 million in funding from Andreessen Horowitz, Harrison Metal, ff Ventures, and other investors.",company,1,,,,2009-10-01,7,,,0,,,22325000,,,0,http://500px.com,1280208651,1454193626
moz,organizations/moz,organization/moz,"Moz, Inc.",Array,"Moz is the world's most popular provider of inbound marketing software.","Moz provides analytics software to track all of a website's inbound marketing efforts—search marketing, link building, social media, and brand mentions—on one platform. Moz Analytics tracks each effort with beautiful data visualizations, insights into competitors' data, and actionable recommendations to improve each effort's performance. 

Dedicated to helping people do better marketing, Moz creates easy-to-use tools, tutorials, and educational resources for learning inbound marketing—and fosters the web’s most vibrant online marketing community. With offices in Seattle, WA and Portland, OR, Moz supports over 20,000 customers and 300,000 community members worldwide.

The company received an A round of financing from Ignition Partners and Curious Office in September of 2007 to build their Linkscape web index.",company,,,,,2004-01-01,4,,,0,101,250,29100000,,,0,http://www.moz.com,1190400624,1453907962
issuu,organizations/issuu,organization/issuu,Issuu,,"Issuu, a digital publishing and discovery platform, connects people to content created by publishers sharing the same passion.","Issuu is digital publishing and discovery platform that connects people to content for which they have great passion, created by publishers large and small, that share that passion. A digital publishing service that reimagines the print experience, Issuu hosts over 17 million publications and serves over 5.5 billion page-views to over 80 million active readers each month. The site features leading and emerging titles in fashion, culture, arts, hobbies, catalogs and hyperlocal content, all of which are accessible on any device.

Issuu was founded in Copenhagen, Denmark in 2006 by Michael Hansen, Ruben Bjerg Hansen, Mikkel Jensen, and Martin Ferro-Thomsen, a self-avowed group of “mad geeks with a love of the publishing industry.”

Originally focused on democratizing print media, the company has succeeded in giving aspiring and established publishers the chance to create their own digital magazines without sacrificing the aesthetic and tactile experience of print. With that goal firmly in mind, Issuu launched in December 2007.

In 2008, the site was a SXSW finalist. In 2009, TIME named Issuu one of the 50 Best Websites, and the company was also listed as a Webby Awards honoree. In early 2013, the now transatlantic company opened an office in Palo Alto, California and appointed a new CEO, Joe Hyrkin, formerly of Reverb, Trinity Ventures, and Yahoo, to lead the company globally.",company,1,,,,2006-01-01,4,,,0,,,20250000,,,0,http://www.issuu.com,1203882852,1453712064
9gag,organizations/9gag,organization/9gag,9GAG,,"9GAG.TV is a website that features user-generated videos under various categories.","9GAG.TV is a website that features user-generated videos under categories such as fail and prank, comedy, game, cute, movie and TV, music, and more.


Its featured videos are updated daily, covering various TV shows or commercials that can be found on the site.",company,1,,,,2008-01-01,4,,,0,,,2800000,,,0,http://9gag.com,1343731584,1453277285
