id,name,website,industry,numberOfRatings,squareLogo,overallRating,ratingDescription,cultureAndValuesRating,seniorLeadershipRating,compensationAndBenefitsRating,careerOpportunitiesRating,workLifeBalanceRating,recommendToFriendRating,featuredReview:id,featuredReview:reviewDateTime,featuredReview:jobTitle,featuredReview:location,featuredReview:headline,featuredReview:pros,featuredReview:cons,featuredReview:overallNumeric,ceo:name,ceo:title,ceo:numberOfRatings,ceo:pctApprove,ceo:pctDisapprove

715,Walmart,corporate.walmart.com,,16178,https://media.glassdoor.com/sqll/715/walmart-squarelogo-1408483474312.png,3.1,OK,2.9,2.6,2.9,3.2,2.7,0.5,6773399,"2015-06-02 07:55:18.903","Assistant Store Manager","Amarillo; TX","From an Asst Store Manager","Advancement opportunities; great at developing skills; great place to learn a skill and grow your resume; or grow with the company.","Understaffing issues negatively affects all parts of their business. However; Walmart has increased their minimum hourly rate with hopes to attract more committed employees; and retain better employees.",5,"Doug McMillon",CEO,3688,63,37

237,ExxonMobil,www.exxonmobil.com,"Oil & Gas Exploration & Production",1168,https://media.glassdoor.com/sqll/237/exxon-mobil-squarelogo.png,3.7,Satisfied,3.6,3.3,4.0,3.7,3.4,0.8,9040326,"2015-12-31 06:51:34.89","Network Engineer","Houston; TX","Various opportunities at the field of IT","If you are good; you can have almost any job all at the same company. It is hard to get bored long term. If you and your boss don't get along well; it won't last for ages; you or she will sooner or later he moved to a new position. Atmosphere is above average too.","If; in the IT field; you want to become a real expert; you may want to look elsewhere or be really determined and paint. Young talent is still mostly moved around different disciplines/fields before settling at the one that fits the person best.",5,"Rex W. Tillerson","Chairman and CEO",419,87,13

13524,Chevron,www.chevron.com,"Oil & Gas Exploration & Production",1181,https://media.glassdoor.com/sqll/13524/chevron-squarelogo.png,4,Satisfied,4.0,3.4,4.1,3.5,4.0,0.8,8980547,"2015-12-22 08:16:03.167","Category Specialist","Houston; TX","Contract Advisor","High pay; high skilled co-workers; complex projects; great 401k; flexible workhours.","Management can give poor review rating regardless of performance as a""message"". It's about who you know and who likes you to survive.",5,"John S. Watson","Chairman and CEO",577,87,13
316126,Texaco,www.texaco.com,"Convenience Stores & Truck Stops",24,https://media.glassdoor.com/sqll/316126/texaco-squarelogo.png,3.5,Satisfied,3.2,3.3,2.7,2.5,3.3,0.7,7123105,"2015-07-06 08:15:29.577","Food and Beverage Associate","Bassfield; MS","Very good place to work.","Manager appreciates all of his employees","None at this time; since I feel appreciated while working with Texaco.",5,"John S. Watson",CEO,5,79,21
11902,"Chevron Phillips Chemical",www.cpchem.com,"Chemical Manufacturing",92,https://media.glassdoor.com/sqll/11902/chevron-phillips-chemical-squarelogo.png,3.5,Satisfied,3.7,3.2,3.8,3.2,3.4,0.7,8974630,"2015-12-21 13:55:53.88",Employee,,"Great; growing company to work for!","Lots of growth and plenty of opportunity.","A lot of movement of management and hard to implement programs with people moving around so much.",5,"Peter  Cella","President and CEO",47,88,12
21555,"Chevron Information Technology",www.chevron.com/technology/info_technology,"IT Services",70,https://media.glassdoor.com/sqll/21555/chevron-information-technology-squarelogo.png,3.9,Satisfied,4.1,3.2,4.0,3.8,4.0,0.9,8833509,"2015-12-05 16:52:24.82","Earth Science Manager","Houston; TX","Recommend Chevron","Great learning and job diversity","Risk Adverse and change directions too quickly",4,"Louis Ehrlich",President,42,81,19
19788,"Chevron Products Company",www.chevron.com,Energy,29,https://media.glassdoor.com/sqll/19788/chevron-products-company-squarelogo-1416586212676.png,4.2,"Very Satisfied",3.9,3.4,4.2,3.8,3.9,0.9,8537324,"2015-11-04 11:00:29.313",Employee,,"Engineer who is very good at software development","good company; good boss; good people to work with","busy everyday; no communication as often as possbile",5,"John S. Watson","Chairman & CEO",5,100,0
